,LOOIC,SE
PM T4,5881.651362503455,113.09107592970653
HM OCR+P,4088.5009288800984,108.98609757825665
HM OCR+S,3870.199201044525,102.82685448036189
HM AVGRR+P,4086.0288195495286,110.84117620896727
AVGRR+S,4244.446453785861,108.0113451558805
HM T4+S,3790.5748448699296,107.16522563603257
HM P+S-linear,3569.8199460578003,107.8368041181112
CPLX2,3929.8484808420553,103.42457269857816
CPLX3,3893.4496758682503,103.23355611941074
CPLX4,3413.4407650683793,97.7766595559512
CPLX5,3417.9196661838087,97.94344318908692
PM (I)P (E)P,4173.916057222708,110.87193624061885
HM (I)P+S (E)P+S 2beta,3367.4090293169215,104.56243091881598
